,start_page,end_page,guid,pages,ship_name,hull_number,country,base_port,ship_class,ship_type,ship_role,displacement_full_load_tons,length_metres,beam_metres,draught_metres,hull_form,hull_shape,bow_shape,speed_knots,complement_total_personnel,superstructure_layout,distinct_superstructure_blocks_number,funnel_arrangement,funnels_total,funnel_shape,spacing_between_funnels,smokestacks_total,main_machinery,main_gun,main_gun_caliber_inches,main_gun_turrets_total,torpedo_tubes_visible_number,length_to_beam_ratio,approximate_size_category,mast_configuration,freeboard_height,radar_configuration,radar_airsearch,radar_surfacesearch,radar_firecontrol,sonar,gunmounts_position,gunmounts_number,gunmounts_size,missile_launchers,CIWS,CIWS_positions,flight_deck,hangar,hangar_capacity,helicopter_platform,helicopter_capacity,builder,launch_year,commission_year,CIWS_count,CIWS_type
144,69,86,dfdecb4c-e037-428e-95d1-9ce42f0b8f74,69-86,Amorim do Valle,H 35,Brazil,,Amorim do Valle (River),Survey Ship,Survey,890.0,42.5,10.5,2.9,Monohull,Sleek,Raked,14.0,36.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Ruston 12RKC diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Two,Low,Simple arrays (1-2 basic radars),,2 Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Richards Ltd, Lowestoft/Great Yarmouth",1986.0,1986.0,,
145,69,86,dfdecb4c-e037-428e-95d1-9ce42f0b8f74,69-86,Taurus,H 36,Brazil,,Amorim do Valle (River),Survey Ship,Survey,890.0,42.5,10.5,2.9,Monohull,Sleek,Raked,14.0,36.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Ruston 12RKC diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Two,Low,Simple arrays (1-2 basic radars),,2 Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Richards Ltd, Lowestoft/Great Yarmouth",1986.0,1986.0,,
146,69,86,dfdecb4c-e037-428e-95d1-9ce42f0b8f74,69-86,Garnier Sampaio,H 37,Brazil,,Amorim do Valle (River),Survey Ship,Survey,890.0,42.5,10.5,2.9,Monohull,Sleek,Raked,14.0,36.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Ruston 12RKC diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Two,Low,Simple arrays (1-2 basic radars),,2 Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Richards Ltd, Lowestoft/Great Yarmouth",1986.0,1986.0,,
147,69,86,9ae84d95-189e-41b2-9224-0dc793e21998,69-86,Almirante Graça Aranha,H 34,Brazil,,Lighthouse Tender,Auxiliary Repair Dock,Auxiliary,2406.0,74.8,13.0,4.2,Monohull,Bulky,Bluff,14.0,81.0,Split fore/aft,Multiple,Single compact,1.0,Squat/boxy,Integrated,1.0,1 diesel,,,0.0,0.0,Balanced,"Small (500-2,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 Racal Decca; I-band,,,,0.0,,,,,y,y,1.0,y,1.0,"Ebin, Niterói",1974.0,1976.0,,
148,69,86,73dda053-ea8b-4563-839b-3ca892ba7bf9,69-86,Comandante Varela,H 18,Brazil,"Rio Grande (H 18), São Luís (H 19), Natal (H 22), Salvador (H 25)",Buoy Tenders,Auxiliary Repair Dock,Auxiliary / Minelayer,420.0,27.5,8.6,2.8,Monohull,Bulky,Bluff,12.0,22.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 MWM RBV6M 545 diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Arsenal de Marinha, Rio de Janeiro / Estanave, Manaus",1982.0,1982.0,,
149,69,86,73dda053-ea8b-4563-839b-3ca892ba7bf9,69-86,Tenente Castelo,H 19,Brazil,"Rio Grande (H 18), São Luís (H 19), Natal (H 22), Salvador (H 25)",Buoy Tenders,Auxiliary Repair Dock,Auxiliary / Minelayer,420.0,27.5,8.6,2.8,Monohull,Bulky,Bluff,12.0,22.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 MWM RBV6M 545 diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Arsenal de Marinha, Rio de Janeiro / Estanave, Manaus",1982.0,1982.0,,
150,69,86,73dda053-ea8b-4563-839b-3ca892ba7bf9,69-86,Comandante Manhães,H 22,Brazil,"Rio Grande (H 18), São Luís (H 19), Natal (H 22), Salvador (H 25)",Buoy Tenders,Auxiliary Repair Dock,Auxiliary / Minelayer,420.0,27.5,8.6,2.8,Monohull,Bulky,Bluff,12.0,22.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 MWM RBV6M 545 diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Arsenal de Marinha, Rio de Janeiro / Estanave, Manaus",1982.0,1982.0,,
151,69,86,73dda053-ea8b-4563-839b-3ca892ba7bf9,69-86,Tenente Boanerges,H 25,Brazil,"Rio Grande (H 18), São Luís (H 19), Natal (H 22), Salvador (H 25)",Buoy Tenders,Auxiliary Repair Dock,Auxiliary / Minelayer,420.0,27.5,8.6,2.8,Monohull,Bulky,Bluff,12.0,22.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 MWM RBV6M 545 diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Arsenal de Marinha, Rio de Janeiro / Estanave, Manaus",1982.0,1982.0,,
152,69,86,38263a13-fd35-4e74-b7d7-b4003a09917f,69-86,Faroleiro Mario Sextas,H 26,Brazil,,Buoy Tender,Auxiliary Repair Dock,Auxiliary,284.0,35.5,6.6,3.6,Monohull,Bulky,Bluff,10.0,19.0,Single continuous,1,,0.0,,Integrated,0.0,2 Scania DSI 14 diesels,,,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca RO 150; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Vigo, Spain",1979.0,1984.0,,
153,69,86,348a51f6-d8e8-437d-9cde-723bd702b74e,69-86,Aspirante Nascimento,U 10,Brazil,Rio de Janeiro,Nascimento,Training Ship,Training,136.0,28.0,6.5,1.8,Monohull,Sleek,Fine,10.0,16.0,Single continuous,1,,0.0,,Integrated,0.0,2 Mercedes Benz OM-352A diesels,2–12.7 mm MGs,0.5,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Ebras, Santa Catarina",1990.0,1990.0,,
154,69,86,348a51f6-d8e8-437d-9cde-723bd702b74e,69-86,Guarda Marinha Jansen,U 11,Brazil,Rio de Janeiro,Nascimento,Training Ship,Training,136.0,28.0,6.5,1.8,Monohull,Sleek,Fine,10.0,16.0,Single continuous,1,,0.0,,Integrated,0.0,2 Mercedes Benz OM-352A diesels,2–12.7 mm MGs,0.5,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Ebras, Santa Catarina",1990.0,1990.0,,
155,69,86,348a51f6-d8e8-437d-9cde-723bd702b74e,69-86,Guarda Marinha Brito,U 12,Brazil,Rio de Janeiro,Nascimento,Training Ship,Training,136.0,28.0,6.5,1.8,Monohull,Sleek,Fine,10.0,16.0,Single continuous,1,,0.0,,Integrated,0.0,2 Mercedes Benz OM-352A diesels,2–12.7 mm MGs,0.5,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Ebras, Santa Catarina",1990.0,1990.0,,
156,69,86,5ed9a073-da99-44ac-abc9-a9728a464020,69-86,Cruzeiro do Sul,H 38,Brazil,,Research Support Vessel,Survey Ship,Research,,55.7,11.0,4.5,Monohull,Bulky,Bulbous,15.0,53.0,Single continuous,1,Integrated,0.0,,Integrated,0.0,1 Bergen diesel; bow/stern thrusters,,,0.0,0.0,Long and narrow,"Small (500-2,000 tons)",Enclosed,Medium,Simple arrays (1-2 basic radars),,"Racal Decca R 84; I-band, Raytheon R 81; I-band",,,,0.0,,,,,n,n,0.0,n,0.0,"Langsten Mek, Verksted",1986.0,1986.0,,
157,69,86,e8e32ad6-2b0b-49ed-8553-c1f1fc7e428d,69-86,Cisne Branco,U 20,Brazil,,Sail Training Ship,Survey Ship,Training,1036.0,76.0,10.5,4.8,Monohull,Sleek,Fine,15.0,50.0,Minimal,1,,0.0,,Integrated,0.0,1 Caterpillar diesel; sails,,,0.0,0.0,Long and narrow,"Small (500-2,000 tons)",Sailing,Low,Simple arrays (1-2 basic radars),,Furuno FR 1510 MK 3; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Damen Shipyards, Gorinchem",1999.0,2000.0,,
158,69,86,ec1f0bb1-6343-43b4-83a5-d91e26d26a8b,69-86,Brasil,U 27,Brazil,,Modified Niterói,Hydrographic Survey Ship,Training,3729.0,131.3,13.5,4.2,Monohull,Sleek,Fine,10.0,218.0,Split fore/aft,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 Pleistick-Kawasaki diesels,2 Bofors 3 in/70,3.0,2.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),,Racal Decca RMS 1230C; E/F-band,,,Forward,2.0,Large (76mm-127mm),,,,y,n,0.0,y,1.0,"Arsenal de Marinha, Rio de Janeiro",1983.0,1986.0,,
158,69,86,ec1f0bb1-6343-43b4-83a5-d91e26d26a8b,69-86,Brasil,U 27,Brazil,,Modified Niterói,Hydrographic Survey Ship,Training,3729.0,131.3,13.5,4.2,Monohull,Sleek,Fine,10.0,218.0,Split fore/aft,Multiple,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 Pleistick-Kawasaki diesels,2 Bofors 3 in/70,3.0,2.0,0.0,Long and narrow,"Medium (2,000-6,000 tons)",Two,Medium,Simple arrays (1-2 basic radars),,Racal Decca RMS 1230C; E/F-band,,,Aft,2.0,Large (76mm-127mm),,,,y,n,0.0,y,1.0,"Arsenal de Marinha, Rio de Janeiro",1983.0,1986.0,,
159,69,86,40b5095c-d145-4a2b-979c-f89ff4574892,69-86,Pará,U 15,Brazil,,Pará (River Transport Ship),Ferry Boat,Transport,1327.0,56.1,21.4,3.97,Catamaran,Beamish,Fine,10.0,65.0,Split fore/aft,Multiple,,0.0,,Integrated,0.0,2 Ishibras-Daihatsu diesels,4 Oerlikon 20 mm,0.79,4.0,0.0,Short and wide,"Small (500-2,000 tons)",Two,Low,Simple arrays (1-2 basic radars),,Furuno 1830 and 1942; I-band,,,Multiple positions,4.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Inconav/MacLaren, Niterói",2006.0,2006.0,,
160,69,86,cf088a0a-b7bd-418a-8d66-91cc1d38ba1c,69-86,Felinto Perry,K 11,Brazil,"Niterói, Rio de Janeiro",Submarine Rescue Ship,Submarine Rescue Ship,Submarine Rescue,4107.0,78.2,17.5,4.6,Monohull,Bulky,Bluff,14.5,50.0,Central block,1,Integrated,0.0,,Integrated,0.0,Diesel-electric; 4 BMV diesels,,,0.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 Raytheon; I-band,,,,0.0,,,,,y,n,0.0,y,0.0,"Stord Verft, Norway",1979.0,1979.0,,
161,69,86,8e7ed113-f9ac-4f6c-bc05-14f6eee65021,69-86,Pirami,U 29,Brazil,Mato Grosso,River Transport,Ferry Boat,Logistics Support,91.5,25.0,5.5,0.97,Monohull,Bulky,Bluff,7.0,17.0,Single continuous,1,,0.0,,Integrated,0.0,2 MWM diesels,2–7.62 mm MGs,0.3,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Very Low,Simple arrays (1-2 basic radars),,Furuno 3600; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,y,n,0.0,y,0.0,"Estaleiro SNBP, Mato Grosso",1982.0,1982.0,,
162,69,86,1b0c365a-f1d9-4c68-a6ea-dbf5b6fdd117,69-86,Oswaldo Cruz,U 18,Brazil,Amazon Flotilla,Hospital Ships,Hospital Ship,Hospital,490.0,47.0,8.5,1.6,Monohull,Bulky,Bluff,7.0,46.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Volvo diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca; I-band,,,,0.0,,,,,y,n,0.0,y,0.0,"Arsenal de Marinha, Rio de Janeiro",1983.0,1984.0,,
163,69,86,1b0c365a-f1d9-4c68-a6ea-dbf5b6fdd117,69-86,Carlos Chagas,U 19,Brazil,Amazon Flotilla,Hospital Ships,Hospital Ship,Hospital,490.0,47.0,8.5,1.6,Monohull,Bulky,Bluff,7.0,46.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Volvo diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Racal Decca; I-band,,,,0.0,,,,,y,n,0.0,y,0.0,"Arsenal de Marinha, Rio de Janeiro",1983.0,1984.0,,
164,69,86,618093f2-b62d-41fb-a65c-69fee93ca6f9,69-86,Art Parreiras,G 21,Brazil,,Barroso Pereira (Transport),Store Issue Ship,Transport,6464.0,119.5,16.0,6.9,Monohull,Bulky,Bluff,15.0,127.0,Split fore/aft,Multiple,Single compact,1.0,Tall/stack,Integrated,1.0,1 Ishikawajima turbine; boilers,2–3 in/50 Mk 33,3.0,2.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 Racal Decca; I-band,,,Forward,2.0,Medium (30mm-76mm),,,,y,n,0.0,y,0.0,"Ishikawajima, Tokyo",1957.0,1957.0,,
164,69,86,618093f2-b62d-41fb-a65c-69fee93ca6f9,69-86,Art Parreiras,G 21,Brazil,,Barroso Pereira (Transport),Store Issue Ship,Transport,6464.0,119.5,16.0,6.9,Monohull,Bulky,Bluff,15.0,127.0,Split fore/aft,Multiple,Single compact,1.0,Tall/stack,Integrated,1.0,1 Ishikawajima turbine; boilers,2–3 in/50 Mk 33,3.0,2.0,0.0,Balanced,"Medium (2,000-6,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 Racal Decca; I-band,,,Aft,2.0,Medium (30mm-76mm),,,,y,n,0.0,y,0.0,"Ishikawajima, Tokyo",1957.0,1957.0,,
165,69,86,75fed65f-2b9c-443c-acb9-f85d2e4b0afd,69-86,Paraguassu,G 15,Brazil,,River Transport Ship,Transport,Transport,285.0,40.0,7.0,1.5,Monohull,Bulky,Bluff,13.0,35.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 diesels,2–7.62 mm MGs,0.3,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Furuno 3600; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,Amsterdam Drydock,1951.0,1951.0,,
166,69,86,5ebe0cf0-64be-4c49-a429-db3c32eaa577,69-86,Doutor Montenegro,U 16,Brazil,,Hospital Ship,Hospital Ship,Hospital,347.0,41.0,11.0,2.4,Monohull,Bulky,Bluff,5.0,50.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Cummins NT 855-M diesels,,,0.0,0.0,Balanced,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Furuno 1924 Mk 2,,,,0.0,,,,,n,n,0.0,n,0.0,"CONAVE Shipyard, Manaus",1997.0,2000.0,,
167,69,86,f3ca1a3f-b872-49d3-9bf2-c3346150c5ec,69-86,Almirante Gastão Motta,G 23,Brazil,,Replenishment Tanker,Replenishment Oiler,Replenishment,10320.0,135.0,19.0,7.5,Monohull,Bulky,Bulbous,19.0,121.0,Split fore/aft,Multiple,Single compact,1.0,Tall/stack,Integrated,1.0,2 Wärtsilä diesel generators; 1 motor,2–12.7 mm MGs,0.5,0.0,0.0,Long and narrow,"Large (6,000-12,000 tons)",Two,High,Simple arrays (1-2 basic radars),,2 unknown; I-band,,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Ishikawajima, Rio de Janeiro",1990.0,1991.0,,
168,69,86,ad9cb2c4-daec-46a9-a8b1-d629a36cbd6a,69-86,Marajó,G 27,Brazil,,Replenishment Tanker,Replenishment Oiler,Replenishment,15110.0,134.4,19.3,7.3,Monohull,Bulky,Bulbous,13.0,50.0,Split fore/aft,Multiple,Single compact,1.0,Tall/stack,Integrated,1.0,1 Sulzer GRD 68 diesel,,,0.0,0.0,Long and narrow,"Large (6,000-12,000 tons)",Two,High,Simple arrays (1-2 basic radars),,Racal Decca TM 1226C; I-band,,,,0.0,,,,,n,n,0.0,n,0.0,"Ishikawajima, Rio de Janeiro",1998.0,1999.0,,
169,69,86,26150033-f031-4d41-8596-e2283e08f865,69-86,Potengi,G 17,Brazil,Mato Grosso Flotilla,River Tender,Miscellaneous Auxiliary,Logistics Support,584.0,54.6,7.5,1.8,Monohull,Bulky,Bluff,10.0,15.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Kromhout diesels,4–7.62 mm MGs,0.3,0.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Furuno 3600; I-band,,,Multiple positions,4.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Papendrecht, Netherlands",1989.0,1989.0,,
170,69,86,e9a64099-079b-4c88-bd69-ca39b213c9ef,69-86,Almirante Guilhem,R 24,Brazil,,Almirante Guilhem (Fleet Ocean Tugs),Fleet Ocean Tug,Tug,2735.0,63.0,13.4,4.5,Monohull,Bulky,Bluff,14.0,40.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 GM EMD diesel-electrics,2 Oerlikon 20 mm,0.79,2.0,0.0,Balanced,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,"Racal Decca; I-band, Furuno; I-band",,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Sumitomo, Uraga",1976.0,1976.0,,
171,69,86,e9a64099-079b-4c88-bd69-ca39b213c9ef,69-86,Almirante Guillobel,R 25,Brazil,,Almirante Guilhem (Fleet Ocean Tugs),Fleet Ocean Tug,Tug,2735.0,63.0,13.4,4.5,Monohull,Bulky,Bluff,14.0,40.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 GM EMD diesel-electrics,2 Oerlikon 20 mm,0.79,2.0,0.0,Balanced,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,"Racal Decca; I-band, Furuno; I-band",,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Sumitomo, Uraga",1976.0,1976.0,,
172,69,86,309ec4ec-0220-43fb-a7d1-7952fdb82e62,69-86,Tritão,R 21,Brazil,,Tritão (Fleet Ocean Tugs),Auxiliary Ocean Tug,Tug / Patrol,1860.0,55.4,11.6,3.4,Monohull,Bulky,Bluff,13.0,41.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Burmeister & Wain Alpha diesels,2 Oerlikon 20 mm,0.79,2.0,0.0,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,"Racal Decca; I-band, 2 Furuno; I-band",,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Estanave, Manaus",1986.0,1986.0,,
173,69,86,309ec4ec-0220-43fb-a7d1-7952fdb82e62,69-86,Tridente,R 22,Brazil,,Tritão (Fleet Ocean Tugs),Auxiliary Ocean Tug,Tug / Patrol,1860.0,55.4,11.6,3.4,Monohull,Bulky,Bluff,13.0,41.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Burmeister & Wain Alpha diesels,2 Oerlikon 20 mm,0.79,2.0,0.0,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,"Racal Decca; I-band, 2 Furuno; I-band",,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Estanave, Manaus",1986.0,1986.0,,
174,69,86,309ec4ec-0220-43fb-a7d1-7952fdb82e62,69-86,Triunfo,R 23,Brazil,,Tritão (Fleet Ocean Tugs),Auxiliary Ocean Tug,Tug / Patrol,1860.0,55.4,11.6,3.4,Monohull,Bulky,Bluff,13.0,41.0,Single continuous,1,Single compact,1.0,Squat/boxy,Integrated,1.0,2 Burmeister & Wain Alpha diesels,2 Oerlikon 20 mm,0.79,2.0,0.0,Long and narrow,"Small (500-2,000 tons)",Single foremast,Medium,Simple arrays (1-2 basic radars),,"Racal Decca; I-band, 2 Furuno; I-band",,,,2.0,Small (<30mm - CIWS small caliber),,,,n,n,0.0,n,0.0,"Estanave, Manaus",1986.0,1986.0,,
175,87,89,8edb068b-1419-4450-981b-8f8e2d5c4634,87-89,Nakhoda Ragam,28,Brunei,,Brunei,Guided Missile Frigate,Corvette,1840.0,95.0,12.8,3.6,Monohull,Sleek,Fine,30.0,71.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,CODAD; 4 MAN diesels,1 OTO Melara 76 mm Super Rapid,3.0,1.0,6.0,Balanced,"Small (500-2,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Plessey AWS 9; E/F-band,Kelvin Hughes 1007; I-band,2 Marconi 1802; I/J-band,Thomson Marconi 4130C1; hull-mounted,Forward,1.0,Medium (30mm-76mm),"8 MM40 Exocet SSM, 16 Sea Wolf SAM",,,y,n,0.0,y,1.0,BAE System Marine (Scotstoun),2001.0,,,
176,87,89,8edb068b-1419-4450-981b-8f8e2d5c4634,87-89,Bendahara Sakam,29,Brunei,,Brunei,Guided Missile Frigate,Corvette,1840.0,95.0,12.8,3.6,Monohull,Sleek,Fine,30.0,71.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,CODAD; 4 MAN diesels,1 OTO Melara 76 mm Super Rapid,3.0,1.0,6.0,Balanced,"Small (500-2,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Plessey AWS 9; E/F-band,Kelvin Hughes 1007; I-band,2 Marconi 1802; I/J-band,Thomson Marconi 4130C1; hull-mounted,Forward,1.0,Medium (30mm-76mm),"8 MM40 Exocet SSM, 16 Sea Wolf SAM",,,y,n,0.0,y,1.0,BAE System Marine (Scotstoun),2001.0,,,
177,87,89,8edb068b-1419-4450-981b-8f8e2d5c4634,87-89,Jerambak,30,Brunei,,Brunei,Guided Missile Frigate,Corvette,1840.0,95.0,12.8,3.6,Monohull,Sleek,Fine,30.0,71.0,Stealthy/angular,1,Integrated,0.0,,Integrated,0.0,CODAD; 4 MAN diesels,1 OTO Melara 76 mm Super Rapid,3.0,1.0,6.0,Balanced,"Small (500-2,000 tons)",Enclosed,Medium,Complex arrays (AEGIS-type systems),Plessey AWS 9; E/F-band,Kelvin Hughes 1007; I-band,2 Marconi 1802; I/J-band,Thomson Marconi 4130C1; hull-mounted,Forward,1.0,Medium (30mm-76mm),"8 MM40 Exocet SSM, 16 Sea Wolf SAM",,,y,n,0.0,y,1.0,BAE System Marine (Scotstoun),2001.0,,,
178,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Waspada,P 02,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Forward,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
178,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Waspada,P 02,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Aft,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
179,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Pejuang,P 03,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Forward,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
179,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Pejuang,P 03,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Aft,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
180,87,89,8ab402ae-7108-42db-ad96-3f3123a35729,87-89,Seteria,P 04,Brunei,,Waspada,Guided Missile Motor Torpedo Boat,Fast Attack Craft,206.0,36.9,7.2,1.8,Monohull,Sleek,Fine,32.0,24.0,Single continuous,1,Twin fore-aft,2.0,Raked,Fore-aft separated,2.0,2 MTU 20V 538 diesels,2 Oerlikon 20 mm GCM-B01 (twin),0.79,2.0,0.0,Long and narrow,Very Small (<500 tons),Single foremast,Low,Simple arrays (1-2 basic radars),,Kelvin Hughes Type 1007; I-band,,,Forward,2.0,Small (<30mm - CIWS small caliber),2 MM38 Exocet SSM,,,n,n,0.0,n,0.0,Vosper (Singapore),1977.0,1978.0,,
